iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.30490320012904704,0.2634767999406904,0.03705740021541715,0.12016900062738957,4492790,327.9921875,0.013589099980890751,0.034298300044611096,0.02241252502426505,0.00868741147820445,0.6037966907043297,48316
2,0.14730509999208152,0.10577100003138185,0.03780749998986721,0.036305752016472306,4492790,335.2734375,0.015172000043094158,0.03330840007402003,0.022317850089166313,0.008045818303790952,0.5444992851839782,48316
3,0.13186719990335405,0.09197329985909164,0.03621209994889796,0.015121709071132724,4492790,337.84375,0.014286400051787496,0.04219449986703694,0.023205999983474612,0.013060590818483375,0.6614155850452852,48316
4,0.12501959991641343,0.0856224000453949,0.035898900125175714,0.006298930992027299,4492790,339.7421875,0.012724899919703603,0.02971370005980134,0.01764287502737716,0.008076007381282826,0.5717497351695123,48316
5,0.1270707999356091,0.08398650004528463,0.03775409981608391,0.0026238243903557055,4492790,341.30859375,0.01349620008841157,0.02908779983408749,0.017556224949657917,0.007691298763033095,0.5360185312951856,48316
6,0.12347939983010292,0.08474420011043549,0.035465900087729096,0.0010929563677977378,4492790,342.90625,0.012646199902519584,0.027728399960324168,0.02035267499741167,0.006318740483109154,0.5439260858681101,48316
7,0.1301951000932604,0.08951260009780526,0.035683299880474806,0.0004552719527267362,4492790,345.06640625,0.013311999849975109,0.03025750000961125,0.01841534994309768,0.00793699211618199,0.5600429696522656,48316
8,0.12983600003644824,0.08938680007122457,0.036797699984163046,0.00018964393916752427,4492790,344.375,0.011469800025224686,0.03132999991066754,0.01680032495642081,0.009693117942431693,0.6339036049176835,48316
9,0.1586734999436885,0.1199199000839144,0.035165999783203006,7.899635238199461e-05,4492790,341.6015625,0.010468399850651622,0.02480070013552904,0.015756600012537092,0.006363064131602572,0.577899019243623,48316
10,0.12298900005407631,0.08288239990361035,0.035992300137877464,3.290600156800663e-05,4492790,344.01171875,0.013674500165507197,0.031798799987882376,0.022292050009127706,0.0074721260104681705,0.5699680437400731,48316
11,0.13372629997320473,0.09668359998613596,0.03364249994046986,1.3707024484931353e-05,4492790,344.7578125,0.0183808000292629,0.03679700009524822,0.02419287501834333,0.008539985222353169,0.5004810179719922,48316
12,0.12398439995013177,0.08438000013120472,0.03634440014138818,5.709673271310037e-06,4492790,344.8203125,0.013788699870929122,0.035921699833124876,0.02019249997101724,0.010584252113255185,0.616145674202923,48316
13,0.13320579985156655,0.09334670007228851,0.035487000131979585,2.3783697298540393e-06,4492790,345.07421875,0.016805499792099,0.033652300015091896,0.0230084250215441,0.007475179190755474,0.5006136345937034,48316
14,0.12898360006511211,0.09016480017453432,0.034670399967581034,9.907117560591597e-07,4492790,347.08984375,0.015104100108146667,0.03715829993598163,0.021911125048063695,0.01039087470172895,0.5935201520476221,48316
